,name,timestamp,price,volume,market_cap_x,date,SMA_50,SMA_100,EMA_50,EMA_100,MACD,MACD_Signal,RSI,SMA_20,EMA_20,OBV,SIGNAL,circulating_supply,max_supply
2265,ripple,1635811200000,1.0934533521014969,4635542909.623682,51393344971.35801,2021-11-02 00:00:00,1.0568426290957809,,1.0902063423833221,,0.001402751418782655,0.002916758764457858,51.11251691168516,1.097383609042885,1.0861434269627819,9.0,0.0029171573603367865,52841868447.0,100000000000.0
2266,ripple,1635897600000,1.1366587277819378,4571603615.529947,53415011179.1182,2021-11-03 00:00:00,1.058203720677863,,1.0920280045558168,,0.005295200108225151,0.0033924470332113168,56.134957245535716,1.0977936808475028,1.0909544079931777,10.0,0.00339277436314881,52841868447.0,100000000000.0
2267,ripple,1635984000000,1.2088823954696684,7581930544.08609,56780580558.89655,2021-11-04 00:00:00,1.060455142317343,,1.0966105296896935,,0.014045927414265691,0.005523143109422191,62.981380750341714,1.1016213172882576,1.1021856448957006,9.0,0.005523435268295786,52841868447.0,100000000000.0
2268,ripple,1636070400000,1.200913826990432,5642672341.455357,55830878969.167984,2021-11-05 00:00:00,1.062095740320043,,1.1007008550740363,,0.020106173517073334,0.00843974919095242,61.83464713568107,1.1043790312535045,1.1115883289047226,10.0,0.008440016093707942,52841868447.0,100000000000.0
2269,ripple,1636156800000,1.1622964291452975,4233745983.9072695,54740175009.61684,2021-11-06 00:00:00,1.0635225162207584,,1.1031163677827132,,0.02154450925650364,0.011060701204062665,56.468709632159516,1.1055640657607508,1.1164176717847774,11.0,0.011060938576337994,52841868447.0,100000000000.0
2270,ripple,1636243200000,1.1519973721059782,3646729112.5295153,54193429674.51924,2021-11-07 00:00:00,1.065209298494443,,1.1050332699130372,,0.021604311804128917,0.013169423324075915,55.095524212900564,1.1085381562327445,1.1198062146725107,12.0,0.013169628572951016,52841868447.0,100000000000.0
2271,ripple,1636329600000,1.219290185560037,4196593069.9279795,57472702553.16003,2021-11-08 00:00:00,1.0680788478853445,,1.1095139332717432,,0.026773050351405203,0.015890148729541774,61.65650701100142,1.1154408730464072,1.129280878566561,11.0,0.01589032877378478,52841868447.0,100000000000.0
2272,ripple,1636416000000,1.287089052369683,6510421242.806361,60874912549.54917,2021-11-09 00:00:00,1.0728401957255975,,1.1164776634324467,,0.03592598245899925,0.019897315475433268,66.90338826829853,1.1250759706041942,1.1443102284525724,10.0,0.01989747818068481,52841868447.0,100000000000.0
2273,ripple,1636502400000,1.2617122958767892,5162156736.937613,59453346956.008064,2021-11-10 00:00:00,1.07963539471887,,1.1221731392145777,,0.04066331356427355,0.024050515093201323,63.40604250729134,1.1309842352650366,1.1554913777310691,11.0,0.024050660737599004,52841868447.0,100000000000.0
2274,ripple,1636588800000,1.1883132886401981,6861365706.089187,55649461110.10411,2021-11-11 00:00:00,1.0860661224934252,,1.1247668705646021,,0.038056306718315724,0.026851673418224205,54.52744510033408,1.1357518259997879,1.158617274008129,10.0,0.026851798286307436,52841868447.0,100000000000.0
2275,ripple,1636675200000,1.2176287356871103,4931779012.400676,57494245414.409386,2021-11-12 00:00:00,1.090478292293264,,1.1284085123341123,,0.0379186440624808,0.029065067547075524,57.110623877675906,1.1419587337506878,1.1642374132156512,11.0,0.029065172721498184,52841868447.0,100000000000.0
2276,ripple,1636761600000,1.1942130805718565,4349613837.684128,56317864715.8241,2021-11-13 00:00:00,1.094353828277074,,1.1309890836375531,,0.03551075189771824,0.03035420441720407,54.44991832754161,1.1469116384387141,1.167092238678147,12.0,0.030354291016872894,52841868447.0,100000000000.0
2277,ripple,1636848000000,1.1936921583345361,3253100665.457899,56293298557.09905,2021-11-14 00:00:00,1.099408891591843,,1.1334480277433172,,0.033177990713827654,0.03091896167652879,54.38921060586195,1.1523505642629146,1.169625564359708,13.0,0.030919031818456975,52841868447.0,100000000000.0
2278,ripple,1636934400000,1.1929348852566946,2783129146.692004,55951324170.01716,2021-11-15 00:00:00,1.1044165300541575,,1.1357808456850182,,0.030911822808970868,0.030917533903017207,54.294441588822544,1.1572058903106186,1.1718454996832306,14.0,0.03091759001479878,52841868447.0,100000000000.0
2279,ripple,1637020800000,1.1755600254518253,3251109168.690187,55534908930.01491,2021-11-16 00:00:00,1.109012383762313,,1.1373408135190106,,0.027398034946840122,0.03021363411178179,52.05336892534703,1.160697534413829,1.1721992640421444,13.0,0.030213678313420696,52841868447.0,100000000000.0
2280,ripple,1637107200000,1.0966493653758616,4835970888.340764,51599269663.09816,2021-11-17 00:00:00,1.112490075811871,,1.1357450704545735,,0.01803797145966013,0.02777850158135746,43.30984927907239,1.1656881650516266,1.1650040355977365,12.0,0.02777853503918177,52841868447.0,100000000000.0
2281,ripple,1637193600000,1.1004596250989471,3754088424.9534965,51594668705.87203,2021-11-18 00:00:00,1.1165356127760473,,1.1343613274994508,,0.010802979799925616,0.02438339722507109,43.800725219271165,1.1677721364131723,1.158856948883566,13.0,0.02438342186823471,52841868447.0,100000000000.0
